System Temperature Monitor - Started at Tue Jun 10 08:37:17 PM IST 2025
Interval: 60 seconds
---------------------------------
Time, Package, Core0, Core1, Core2, Core3, PCH, NVMe, Min(Package), Max(Package)
2025-06-10 20:37:17, 63°C, 60°C, 60°C, 63°C, 61°C, °C, °C, 63°C, 63°C
2025-06-10 20:38:17, 58°C, 53°C, 58°C, 54°C, 54°C, °C, °C, 58°C, 63°C
2025-06-10 20:39:17, 53°C, 51°C, 50°C, 51°C, 51°C, °C, °C, 53°C, 63°C
2025-06-10 20:40:17, 53°C, 50°C, 50°C, 51°C, 51°C, °C, °C, 53°C, 63°C
2025-06-10 20:41:17, 53°C, 51°C, 50°C, 52°C, 52°C, °C, °C, 53°C, 63°C
2025-06-10 20:42:17, 53°C, 51°C, 50°C, 51°C, 52°C, °C, °C, 53°C, 63°C
2025-06-10 20:43:18, 53°C, 51°C, 51°C, 51°C, 51°C, °C, °C, 53°C, 63°C
2025-06-10 20:44:18, 53°C, 51°C, 51°C, 52°C, 51°C, °C, °C, 53°C, 63°C
2025-06-10 20:45:18, 53°C, 50°C, 51°C, 51°C, 51°C, °C, °C, 53°C, 63°C
2025-06-10 20:46:18, 53°C, 50°C, 50°C, 51°C, 51°C, °C, °C, 53°C, 63°C
2025-06-10 20:47:18, 53°C, 50°C, 50°C, 51°C, 51°C, °C, °C, 53°C, 63°C
2025-06-10 20:48:18, 53°C, 51°C, 50°C, 51°C, 51°C, °C, °C, 53°C, 63°C
2025-06-10 20:49:19, 53°C, 50°C, 50°C, 51°C, 51°C, °C, °C, 53°C, 63°C
2025-06-10 20:50:19, 53°C, 51°C, 51°C, 52°C, 51°C, °C, °C, 53°C, 63°C
2025-06-10 20:51:19, 52°C, 51°C, 50°C, 51°C, 51°C, °C, °C, 52°C, 63°C
2025-06-10 20:52:19, 52°C, 50°C, 50°C, 52°C, 51°C, °C, °C, 52°C, 63°C
2025-06-10 20:53:19, 53°C, 50°C, 50°C, 51°C, 51°C, °C, °C, 52°C, 63°C
2025-06-10 20:54:19, 52°C, 51°C, 50°C, 51°C, 51°C, °C, °C, 52°C, 63°C
2025-06-10 20:55:20, 53°C, 50°C, 49°C, 51°C, 51°C, °C, °C, 52°C, 63°C
2025-06-10 20:56:20, 52°C, 50°C, 50°C, 51°C, 51°C, °C, °C, 52°C, 63°C
2025-06-10 20:57:20, 52°C, 50°C, 50°C, 51°C, 51°C, °C, °C, 52°C, 63°C
